p,r,true,value,estimate,frac_estimate,lci,frac_lci,uci,frac_uci
1,0,1239029,1208679.0,0.9755050123927689,1050119.6,0.8475343192128676,1394300.25,1.125316881202942
2,0,1269594,1324070.0,1.0429082053002772,1192051.3,0.938923230576074,1480748.3,1.1663163972104469
3,0,1276929,1247753.0,0.9771514312855296,1158254.6,0.9070626479624162,1349655.95,1.0569545761745562
4,0,1314617,1229256.5,0.9350681605364909,1144604.1,0.87067495704072,1323689.2999999998,1.0069010974298978
5,0,1283648,1279027.0,0.9964001034551528,1195306.85,0.9311796146607171,1374068.5,1.0704402608814878
6,0,1283119,1229117.0,0.9579134904868527,1168984.75,0.9110493648679506,1294500.15,1.0088699099615857
7,0,1290114,1342968.0,1.0409684725535884,1276058.6,0.9891053038723711,1416370.65,1.0978647235825671
8,0,1316111,1294903.5,0.9838862375589901,1240278.4,0.9423813037046267,1355246.5499999998,1.029735751771697
9,0,1293675,1276622.5,0.9868185595300211,1224893.5,0.9468324733800993,1332592.05,1.0300825555104645
10,0,1333968,1379227.0,1.0339281002242933,1326806.55,0.9946314679212696,1436119.15,1.0765769118899404
1,1,1313131,1192895.5,0.9084360204732049,1032106.8,0.7859892120435814,1385307.3499999999,1.0549650796455188
2,1,1292496,1337093.0,1.034504555526671,1210440.1,0.9365136139686313,1481146.7,1.1459584401034897
3,1,1269557,1155174.0,0.9099032182091864,1067373.7,0.8407450000275687,1254159.15,0.9878714780037445
4,1,1302774,1281942.5,0.9840098896662046,1204087.75,0.9242491406798109,1367595.1,1.0497562125126845
5,1,1298623,1218608.5,0.9383851202388992,1145710.75,0.8822504683807387,1299793.0999999999,1.0009010313231783
6,1,1300276,1275064.0,0.9806102704348922,1213374.8,0.9331671122130994,1340764.4500000002,1.0311383506270977
7,1,1279025,1321216.5,1.0329872363714547,1261615.6500000001,0.986388577236567,1385552.7,1.0832882078145463
8,1,1263430,1254456.0,0.9928971134134855,1206604.5,0.9550228346643661,1305248.3499999999,1.0330990636600366
9,1,1311561,1320843.5,1.0070774443582875,1270404.0999999999,0.968619911693013,1374238.95,1.0477888180572614
10,1,1312321,1373594.5,1.0466909391833248,1353693.2,1.0315259757330715,1393784.45,1.0620758564406116
1,2,1338228,1170115.0,0.8743764141835323,969690.8,0.7246080637977983,1424218.2999999998,1.0642568381471615
2,2,1328153,1140041.5,0.8583660918583929,1019476.9,0.7675899538682667,1286874.95,0.9689207116951134
3,2,1293662,1227794.5,0.9490844594646825,1135763.5,0.8779445481122581,1327600.0499999998,1.026234093604048
4,2,1308939,1139877.0,0.8708404287747558,1057688.55,0.8080502987534178,1221701.85,0.9333527765617803
5,2,1293730,1251170.5,0.9671032595672977,1176093.05,0.9090714832306587,1333197.1500000001,1.0305064812596139
6,2,1319247,1268832.0,0.9617850182717869,1198833.85,0.9087258489122962,1345977.1500000001,1.0202616719992543
7,2,1332933,1249650.5,0.9375193651893982,1189298.5,0.8922417705916201,1316491.7,0.9876653215127842
8,2,1279293,1269854.5,0.9926220967362441,1219568.75,0.9533146433225227,1323293.2,1.0343941536458028
9,2,1295982,1308790.5,1.0098832391190617,1255720.2,0.968933364815252,1365807.25,1.053878256025161
10,2,1282469,1278710.5,0.99706932487257,1236304.7999999998,0.9640036523299977,1325516.5999999999,1.0335661914634973
1,3,1265149,1342705.0,1.0613018703725807,1167124.9000000001,0.922519719021238,1556334.45,1.2301590168430754
2,3,1265521,1278976.5,1.0106323798656838,1148548.05,0.9075693331047056,1439519.65,1.1374917128992723
3,3,1280725,1279361.0,0.9989349782349841,1184046.75,0.9245128735677058,1383979.25,1.0806217181674442
4,3,1327060,1332228.5,1.0038946995614366,1238741.6,0.9334480731843323,1441531.6500000001,1.0862595888656128
5,3,1261194,1270709.0,1.0075444380483891,1193769.7,0.9465393111606937,1356935.5,1.0759133804949912
6,3,1348739,1281412.5,0.9500818913073619,1209614.9,0.8968487602123167,1362070.0499999998,1.0098840843187598
7,3,1300011,1392617.0,1.071234781859538,1349935.0,1.038402751976714,1436221.0499999998,1.104776074971673
8,3,1276546,1340348.0,1.0499801808943823,1276775.2000000002,1.0001795469963481,1411376.75,1.105621536552541
9,3,1311914,1319084.0,1.0054652972679612,1270142.5,0.9681598793823376,1371488.85,1.0454106366728309
10,3,1295639,1304631.5,1.0069405907046638,1250451.8,0.965123618538806,1364590.35,1.053218026008788
1,4,1271689,1360512.5,1.0698468729382735,1175868.0999999999,0.9246506811020618,1586268.2999999998,1.247371251933452
2,4,1297704,1355338.0,1.0444122850819602,1220406.4,0.9404351069273116,1512227.2999999998,1.1653098857674784
3,4,1291959,1273407.5,0.9856407981987044,1164760.65,0.901546140396096,1398172.4,1.0822111227987885
4,4,1297908,1267996.5,0.9769540676226667,1182733.9000000001,0.9112617381201134,1367289.95,1.053456755024239
5,4,1308901,1212510.0,0.9263573028059418,1141368.8,0.8720054457900178,1289818.9,0.9854212809066537
6,4,1322956,1291358.5,0.9761159857168341,1222066.15,0.9237390737106902,1367252.45,1.0334829351845412
7,4,1310274,1293980.5,0.9875648146876149,1233498.6,0.9414050801588065,1358420.1,1.0367450624831143
8,4,1290651,1332957.0,1.0327788069741548,1272427.5999999999,0.9858804587762299,1398899.5999999999,1.0838713176528743
9,4,1281498,1278824.5,0.9979137696664373,1226938.75,0.9574254115105915,1334634.3499999999,1.0414642473105693
10,4,1300995,1341909.0,1.031448237694995,1288462.95,0.990367334232645,1401780.7,1.0774681685940377
1,5,1320991,1357177.0,1.0273930708082037,1136902.85,0.8606439029486197,1643493.15,1.2441365232617028
